1:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 1, 'sor szama': 1}
2:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 2, 'sor szama': 1}
3:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 3, 'sor szama': 1}
4:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 4, 'sor szama': 1}
5:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 5, 'sor szama': 1}
6:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 6, 'sor szama': 1}
7:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 7, 'sor szama': 1}
8:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 8, 'sor szama': 1}
9:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 9, 'sor szama': 1}
10:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 10, 'sor szama': 1}
11:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 11, 'sor szama': 1}
12:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 12, 'sor szama': 1}
13:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 13, 'sor szama': 1}
14:{'ar': 5000, 'foglat': 'szabad', 'ar kategoria': 1, 'szek szama': 14, 'sor szama': 1}
15:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 15, 'sor szama': 1}
16:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 16, 'sor szama': 1}
17:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 17, 'sor szama': 1}
18:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 18, 'sor szama': 1}
19:{'ar': 4000, 'foglat': 'szabad', 'ar kategoria': 2, 'szek szama': 19, 'sor szama': 1}
20:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 20, 'sor szama': 1}
21:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 1, 'sor szama': 2}
22:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 2, 'sor szama': 2}
23:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 3, 'sor szama': 2}
24:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 4, 'sor szama': 2}
25:{'ar': 4000, 'foglat': 'foglalt', 'ar kategoria': 2, 'szek szama': 5, 'sor szama': 2}
26:{'ar': 5000, 'foglat': 'foglalt', 'ar kategoria': 1, 'szek szama': 6, 'sor szama': 2}
